date,product_id,customer_id,units_sold,is_promotion,weekday,season,campaign_name,event,price_x,discount_applied,final_price,product_type,category,initial_stock,product_name,price_y,payment_method,cumulative_sales,remaining_stock,revenue,delivery_mode,is_returned,return_reason,rating,order_id
2025-04-25,1,807,4,0,Friday,Printemps,Buzz Tiktok,,70.97,0,70.97,normal,Vêtements,58,Souvent,70.97,Carte bancaire,4,54,283.88,standard,0,,4.0,1154
2025-04-25,2,824,28,0,Friday,Printemps,,,483.08,0,483.08,bestseller,Sport,151,Éprouver,483.08,Carte bancaire,28,123,13526.24,pickup,0,,4.2,1189
2025-04-25,3,558,10,0,Friday,Printemps,,,12.7,0,12.7,bestseller,Alimentation,162,Essayer,12.7,Paypal,10,152,127.0,pickup,0,,4.2,716
2025-04-25,4,931,0,0,Friday,Printemps,,,389.57,0,389.57,niche,Sport,24,Choix,389.57,Apple Pay,0,24,0.0,standard,0,,4.2,1363
2025-04-25,5,74,1,0,Friday,Printemps,,,24.6,0,24.6,niche,Beauté,56,Objet,24.6,Paypal,1,55,24.6,pickup,0,,4.4,1049
2025-04-25,6,450,24,1,Friday,Printemps,,,141.51,1,124.53,bestseller,Sport,180,Paraître,141.51,Paypal,24,156,2988.7200000000003,standard,0,,4.5,553
2025-04-25,7,312,5,0,Friday,Printemps,,,126.3,0,126.3,bestseller,Vêtements,187,Seul,126.3,Carte cadeau,5,182,631.5,express,0,,4.1,335
2025-04-25,8,279,6,0,Friday,Printemps,,,314.98,0,314.98,niche,Électronique,23,Commencer,314.98,Carte bancaire,6,17,1889.88,pickup,0,,5.0,284
2025-04-25,9,449,12,0,Friday,Printemps,,,15.97,0,15.97,normal,Beauté,69,Enfin,15.97,Carte bancaire,12,57,191.64000000000001,standard,0,,3.6,547
2025-04-25,10,911,3,0,Friday,Printemps,,,30.64,0,30.64,normal,Beauté,69,Tout,30.64,Apple Pay,3,66,91.92,standard,0,,4.1,1326
2025-04-25,11,619,5,0,Friday,Printemps,,,20.14,0,20.14,normal,Beauté,122,Souvent,20.14,Carte bancaire,5,117,100.7,express,0,,3.8,822
2025-04-25,12,985,4,0,Friday,Printemps,,,43.29,0,43.29,normal,Beauté,88,Fier,43.29,Carte cadeau,4,84,173.16,express,0,,4.2,1437
2025-04-25,13,22,11,0,Friday,Printemps,,,78.26,0,78.26,normal,Vêtements,60,En,78.26,Carte bancaire,11,49,860.86,standard,0,,4.9,198
2025-04-25,14,782,8,0,Friday,Printemps,,,16.16,0,16.16,normal,Alimentation,81,Attitude,16.16,Carte bancaire,8,73,129.28,pickup,0,,5.0,1107
2025-04-25,15,668,2,0,Friday,Printemps,,,6.31,0,6.31,niche,Alimentation,27,Composer,6.31,Carte bancaire,2,25,12.62,express,0,,4.9,911
2025-04-25,16,186,2,0,Friday,Printemps,,,353.58,0,353.58,niche,Sport,55,Intention,353.58,Apple Pay,2,53,707.16,pickup,0,,5.0,151
2025-04-25,17,834,13,0,Friday,Printemps,,,11.56,0,11.56,normal,Alimentation,147,Rire,11.56,Apple Pay,13,134,150.28,express,0,,4.8,1203
2025-04-25,18,482,17,0,Friday,Printemps,,,474.55,0,474.55,bestseller,Sport,153,Être,474.55,Carte bancaire,17,136,8067.35,pickup,0,,5.0,602
2025-04-25,19,329,2,0,Friday,Printemps,,,279.29,0,279.29,niche,Électronique,58,Valoir,279.29,Apple Pay,2,56,558.58,standard,0,,5.0,363
2025-04-25,20,338,13,0,Friday,Printemps,,,26.99,0,26.99,bestseller,Beauté,176,Sembler,26.99,Carte cadeau,13,163,350.87,standard,0,,4.8,376
2025-04-25,21,296,15,0,Friday,Printemps,,,106.69,0,106.69,bestseller,Vêtements,179,Toile,106.69,Carte bancaire,15,164,1600.35,standard,0,,4.5,306
2025-04-25,22,564,6,0,Friday,Printemps,,,25.17,0,25.17,normal,Beauté,78,Naturel,25.17,Carte bancaire,6,72,151.02,standard,0,,4.1,725
2025-04-25,23,323,2,0,Friday,Printemps,,,138.4,0,138.4,normal,Électronique,149,Nommer,138.4,Apple Pay,2,147,276.8,express,0,,3.8,351
